spot,industry,company,worker,rate1,rate2
Seoul,a,30,462,0.003643496,0.00886597
Seoul,b,24,81,0.002914797,0.001554423
Seoul,c,58970,266500,7.161898747,5.114244351
Seoul,d,183,6083,0.022225326,0.116735266
Seoul,e,451,9139,0.054773891,0.17538116
Seoul,f,21825,379353,2.650643381,7.279939727
Seoul,g,223955,896326,27.19930531,17.20086372
Seoul,h,95412,272618,11.58777486,5.231651281
Seoul,i,130595,495092,15.86074558,9.501018627
Seoul,j,23384,357761,2.839983726,6.865580387
Seoul,k,11220,262273,1.362667525,5.033126486
Seoul,l,41282,158063,5.013693473,3.033293827
Seoul,m,41654,463519,5.058872824,8.895119802
Seoul,n,16198,496433,1.96724497,9.526752967
Seoul,o,1282,140121,0.155698731,2.688979485
Seoul,p,35377,346219,4.296531999,6.644084671
Seoul,q,28824,378366,3.500671011,7.260998792
Seoul,r,23025,91104,2.796383223,1.748323142
Seoul,s,69694,191423,8.464327137,3.673485915
Busan,a,82,3827,0.028387454,0.265374121
Busan,b,18,114,0.006231392,0.007905056
Busan,c,30656,216091,10.61275358,14.98431124
Busan,d,61,3711,0.021117496,0.257330379
Busan,e,447,6518,0.154746244,0.451975051
Busan,f,9003,100385,3.11673475,6.96095665
Busan,g,80557,232787,27.88790418,16.14205525
Busan,h,26904,110705,9.313854462,7.676572257
Busan,i,52240,162889,18.08488541,11.29514636
Busan,j,1892,17122,0.654988576,1.187283954
Busan,k,3302,51295,1.143114311,3.556928539
Busan,l,11751,36048,4.068060652,2.499661955
Busan,m,7319,46485,2.533753375,3.223390645
Busan,n,5325,82742,1.843453576,5.737545203
Busan,o,708,45485,0.245101433,3.154048047
Busan,p,12549,102104,4.344319047,7.080156576
Busan,q,9246,136523,3.200858547,9.466859439
Busan,r,7261,24700,2.513674444,1.712762158
Busan,s,29539,62584,10.22606107,4.339737122
Daegu,a,18,318,0.00854916,0.032878208
Daegu,b,6,26,0.00284972,0.002688155
Daegu,c,26961,176508,12.80521689,18.24926644
Daegu,d,77,2632,0.036571407,0.272124036
Daegu,e,341,3763,0.161959088,0.389058794
Daegu,f,6795,60332,3.227307917,6.237761139
Daegu,g,55470,165411,26.34566154,17.10194105
Daegu,h,21094,47711,10.01866567,4.932868489
Daegu,i,35154,101342,16.69650957,10.47780928
Daegu,j,1254,12984,0.595591483,1.342423434
Daegu,k,2185,33767,1.037773039,3.491190088
Daegu,l,7243,23332,3.440087011,2.41230927
Daegu,m,4839,27010,2.298299192,2.792579864
Daegu,n,3029,46468,1.438633654,4.804353985
Daegu,o,449,30055,0.213254048,3.107404214
Daegu,p,10957,77969,5.204063701,8.061260993
Daegu,q,7100,96782,3.372168684,10.00634818
Daegu,r,5971,17785,2.835946368,1.838801662
Daegu,s,21604,43011,10.26089187,4.446932711
Incheon,a,36,201,0.017778392,0.01877708
Incheon,b,32,549,0.015803015,0.05128665
Incheon,c,25235,247361,12.46215919,23.10804575
Incheon,d,67,3726,0.033087564,0.34807661
Incheon,e,495,6488,0.244452895,0.606097973
Incheon,f,6278,55565,3.100354086,5.190788208
Incheon,g,47008,146626,23.21462964,13.69755263
Incheon,h,26111,84685,12.89476673,7.911129297
Incheon,i,36043,111297,17.79962764,10.39717727
Incheon,j,1023,9902,0.505202649,0.925028072
Incheon,k,1802,25635,0.889907305,2.39477829
Incheon,l,8175,23363,4.037176594,2.182531898
Incheon,m,3840,30601,1.89636185,2.858693601
Incheon,n,3029,47082,1.495854178,4.398320713
Incheon,o,485,36806,0.239514452,3.438354194
Incheon,p,8321,73735,4.109277852,6.888198839
Incheon,q,7384,101680,3.646545807,9.498773418
Incheon,r,6882,21974,3.398636002,2.05277387
Incheon,s,20247,43178,9.998864158,4.033615643
Gwangju,a,34,383,0.028424053,0.062148589
Gwangju,b,7,51,0.005852011,0.008275661
Gwangju,c,9105,86109,7.61179431,13.97272277
Gwangju,d,206,1393,0.172216324,0.226039123
Gwangju,e,161,2056,0.134596253,0.333622711
Gwangju,f,5353,58128,4.475116413,9.432305907
Gwangju,g,31616,93051,26.43102569,15.09918623
Gwangju,h,9774,29917,8.171079362,4.854567434
Gwangju,i,20044,61476,16.7568155,9.975578688
Gwangju,j,878,8290,0.73400938,1.345200523
Gwangju,k,1557,24375,1.301654447,3.955278979
Gwangju,l,5149,19153,4.304572093,3.107916237
Gwangju,m,3238,19249,2.706973089,3.123493951
Gwangju,n,2224,30822,1.859267495,5.001419844
Gwangju,o,264,17945,0.220704415,2.911896668
Gwangju,p,6985,52745,5.839470978,8.558818041
Gwangju,q,4891,68462,4.088883687,11.10918193
Gwangju,r,4239,13327,3.543810662,2.162543711
Gwangju,s,13892,29333,11.61373383,4.759803007
Daejeon,a,14,318,0.011909116,0.051433756
Daejeon,b,3,15,0.002551954,0.002426121
Daejeon,c,8220,61879,6.992352646,10.00839438
Daejeon,d,39,1575,0.033175396,0.254742661
Daejeon,e,135,3205,0.114837908,0.518381098
Daejeon,f,4134,40488,3.516591951,6.548584682
Daejeon,g,30718,90795,26.13030275,14.6853079
Daejeon,h,12730,35058,10.82878944,5.67032903
Daejeon,i,21249,65647,18.07548679,10.61783587
Daejeon,j,1205,14399,1.025034664,2.32891402
Daejeon,k,1418,21797,1.206223364,3.525476692
Daejeon,l,4237,14646,3.604209022,2.368864139
Daejeon,m,3201,44732,2.722934406,7.235015066
Daejeon,n,2100,37968,1.786367464,6.140996424
Daejeon,o,278,26508,0.236481026,4.287440297
Daejeon,p,5739,57939,4.881887085,9.37113337
Daejeon,q,4964,61810,4.222632425,9.997234223
Daejeon,r,3856,11565,3.280110925,1.870538971
Daejeon,s,13317,27927,11.32812168,4.516951305
Ulsan,a,34,186,0.039690878,0.035288426
Ulsan,b,21,339,0.024514954,0.064316002
Ulsan,c,7299,175990,8.520697626,33.38930154
Ulsan,d,39,2471,0.045527772,0.468804842
Ulsan,e,202,2092,0.235810511,0.396899931
Ulsan,f,3263,36403,3.809156919,6.906476185
Ulsan,g,20248,57109,23.63708529,10.83487483
Ulsan,h,7536,24396,8.797366394,4.628475483
Ulsan,i,18901,52625,22.06462609,9.984158153
Ulsan,j,343,3765,0.400410917,0.714306042
Ulsan,k,941,14898,1.09850342,2.826489086
Ulsan,l,3151,9820,3.678410497,1.863077113
Ulsan,m,1897,16213,2.214517522,3.075974463
Ulsan,n,1519,18757,1.773248348,3.558629064
Ulsan,o,207,13795,0.241647405,2.617224926
Ulsan,p,4838,34878,5.647778478,6.617149037
Ulsan,q,2894,36678,3.378394154,6.958649933
Ulsan,r,3108,8567,3.62821321,1.625354544
Ulsan,s,9221,18103,10.76439962,3.434550405
Sejong,a,15,70,0.094512003,0.060561492
Sejong,b,9,116,0.056707202,0.100359043
Sejong,c,1233,20248,7.768886649,17.51784401
Sejong,d,14,483,0.088211203,0.417874292
Sejong,e,64,562,0.403251213,0.486222261
Sejong,f,544,6350,3.42763531,5.493792447
Sejong,g,2963,8811,18.669271,7.622961457
Sejong,h,942,3630,5.93535379,3.140545919
Sejong,i,3452,10997,21.7503623,9.514210321
Sejong,j,160,1312,1.008128032,1.135095384
Sejong,k,179,1803,1.127843236,1.559890989
Sejong,l,1369,4142,8.625795476,3.583509971
Sejong,m,444,6130,2.79755529,5.303456331
Sejong,n,348,4601,2.19267847,3.980620323
Sejong,o,117,18938,0.737193624,16.38447895
Sejong,p,1107,12802,6.974985823,11.07583164
Sejong,q,817,9033,5.147753765,7.815027902
Sejong,r,541,1998,3.408732909,1.728598001
Sejong,s,1553,3559,9.785142713,3.079119263
Gyeonggi,a,522,4820,0.057423721,0.093151545
Gyeonggi,b,94,1454,0.01034067,0.028100072
Gyeonggi,c,132785,1317605,14.60729655,25.46409568
Gyeonggi,d,276,8568,0.030361967,0.165585568
Gyeonggi,e,2255,27224,0.248066075,0.526132294
Gyeonggi,f,30361,284619,3.339926427,5.500560069
Gyeonggi,g,209233,735964,23.01712151,14.22327459
Gyeonggi,h,90679,250124,9.975336402,4.83390809
Gyeonggi,i,154477,503155,16.99357118,9.723996998
Gyeonggi,j,7117,114719,0.782920733,2.217064745
Gyeonggi,k,7208,103879,0.792931382,2.007570399
Gyeonggi,l,41103,122637,4.521623001,2.370088382
Gyeonggi,m,21528,260658,2.368233462,5.037488665
Gyeonggi,n,14535,213523,1.598953612,4.126555457
Gyeonggi,o,1863,119126,0.20494328,2.302234632
Gyeonggi,p,45488,383886,5.004004259,7.418998741
Gyeonggi,q,34409,412597,3.785235283,7.973868866
Gyeonggi,r,28561,112954,3.141913596,2.182954272
Gyeonggi,s,86538,196852,9.519796883,3.804370933
Gangwon,a,346,2921,0.241156996,0.45692243
Gangwon,b,171,4500,0.119184527,0.70392021
Gangwon,c,8584,59477,5.982923854,9.303791627
Gangwon,d,153,3427,0.106638787,0.536074346
Gangwon,e,482,4654,0.335947029,0.728009924
Gangwon,f,7089,57535,4.940930476,9.00001095
Gangwon,g,33339,84822,23.23680084,13.26842668
Gangwon,h,10695,26974,7.454260324,4.219454165
Gangwon,i,39186,104485,27.31207527,16.34424514
Gangwon,j,786,8324,0.547830633,1.302095962
Gangwon,k,1598,22229,1.113782889,3.47720941
Gangwon,l,3636,11564,2.534239415,1.808918513
Gangwon,m,2755,16282,1.920195156,2.546939746
Gangwon,n,2695,22566,1.878376024,3.529925212
Gangwon,o,799,38319,0.556891445,5.994115227
Gangwon,p,6112,57100,4.259975606,8.93196533
Gangwon,q,4610,61840,3.213103328,9.673427951
Gangwon,r,4691,21704,3.269559157,3.395085386
Gangwon,s,15748,30554,10.97612825,4.779461798
Chungbuk,a,291,2491,0.22398399,0.349202833
Chungbuk,b,87,1034,0.066964286,0.14495212
Chungbuk,c,13786,208750,10.61114532,29.26378622
Chungbuk,d,87,1555,0.066964286,0.217988923
Chungbuk,e,450,5255,0.346366995,0.736676391
Chungbuk,f,5378,49151,4.139470443,6.890272367
Chungbuk,g,30969,81148,23.8369766,11.37579748
Chungbuk,h,11596,29805,8.925492611,4.178237836
Chungbuk,i,27909,72992,21.48168103,10.23244208
Chungbuk,j,609,6007,0.46875,0.842096114
Chungbuk,k,1251,15726,0.962900246,2.204561926
Chungbuk,l,3631,11995,2.794796798,1.681528698
Chungbuk,m,2512,19280,1.933497537,2.702782268
Chungbuk,n,2414,27209,1.858066502,3.814315494
Chungbuk,o,556,29481,0.427955665,4.132817636
Chungbuk,p,5462,51293,4.204125616,7.190550355
Chungbuk,q,4614,58992,3.551416256,8.269840847
Chungbuk,r,4262,14059,3.280480296,1.970872194
Chungbuk,s,14056,27116,10.81896552,3.801278214
Chungnam,a,474,4442,0.275194204,0.478530238
Chungnam,b,91,727,0.052832642,0.078318659
Chungnam,c,18422,293530,10.69541691,31.62156252
Chungnam,d,145,6414,0.084183881,0.690970947
Chungnam,e,543,6659,0.315254119,0.717364442
Chungnam,f,6939,54223,4.028634131,5.841365395
Chungnam,g,42449,109494,24.64497625,11.79563031
Chungnam,h,14688,37604,8.527536838,4.051024552
Chungnam,i,36804,97680,21.36761069,10.52292517
Chungnam,j,839,6279,0.487105352,0.676427592
Chungnam,k,1670,19076,0.969566076,2.0550299
Chungnam,l,5197,13608,3.017266404,1.465970166
Chungnam,m,3215,20784,1.86655984,2.239030271
Chungnam,n,2965,31104,1.721415218,3.35078895
Chungnam,o,769,32222,0.446464858,3.471229474
Chungnam,p,6871,67673,3.989154794,7.290314449
Chungnam,q,6408,76143,3.720346954,8.202775303
Chungnam,r,5114,14920,2.96907839,1.607310029
Chungnam,s,18639,35677,10.82140245,3.843431628
Jeonbuk,a,488,3581,0.323155267,0.515497309
Jeonbuk,b,108,972,0.071517969,0.139922755
Jeonbuk,c,12933,115285,8.564276775,16.59567362
Jeonbuk,d,164,2525,0.10860136,0.363482464
Jeonbuk,e,447,5193,0.296004927,0.747550272
Jeonbuk,f,5864,48690,3.883160829,7.00909354
Jeonbuk,g,40128,99639,26.57289866,14.34337793
Jeonbuk,h,13286,30926,8.79803458,4.451904432
Jeonbuk,i,27692,75417,18.33773699,10.85653743
Jeonbuk,j,838,7525,0.554926462,1.08324972
Jeonbuk,k,1714,24517,1.135016654,3.529306763
Jeonbuk,l,4274,13271,2.830257398,1.910406251
Jeonbuk,m,3112,20788,2.060777029,2.992504344
Jeonbuk,n,2580,23466,1.708484812,3.378011686
Jeonbuk,o,902,32550,0.597307481,4.685684837
Jeonbuk,p,7705,61153,5.102277318,8.803185402
Jeonbuk,q,6252,80508,4.140095755,11.58940445
Jeonbuk,r,4187,14448,2.772645701,2.079839463
Jeonbuk,s,18337,34215,12.14282403,4.925367333
Jeonnam,a,642,7622,0.409141313,1.038525735
Jeonnam,b,1006,2859,0.641115516,0.389549341
Jeonnam,c,14014,117989,8.931006794,16.07643833
Jeonnam,d,338,6991,0.215404617,0.952549647
Jeonnam,e,585,6386,0.372815682,0.870116156
Jeonnam,f,7298,71614,4.6509553,9.757672787
Jeonnam,g,42209,101376,26.89944811,13.81285554
Jeonnam,h,11690,38408,7.449940732,5.233232279
Jeonnam,i,32584,81035,20.76551487,11.04131894
Jeonnam,j,884,7232,0.56336592,0.98538679
Jeonnam,k,1727,21304,1.100602878,2.902748918
Jeonnam,l,2986,9999,1.90295321,1.36240079
Jeonnam,m,2498,15593,1.591954829,2.124604013
Jeonnam,n,2442,22996,1.55626649,3.133290186
Jeonnam,o,1267,42317,0.807448666,5.765848009
Jeonnam,p,6481,54097,4.130287928,7.370916647
Jeonnam,q,5811,78061,3.703302446,10.63610042
Jeonnam,r,4304,15368,2.742903756,2.093946929
Jeonnam,s,18148,32678,11.56557095,4.452498552
Gyeongbuk,a,501,4752,0.215920355,0.425127619
Gyeongbuk,b,143,1284,0.061629962,0.114870341
Gyeongbuk,c,29217,320706,12.59190622,28.69128327
Gyeongbuk,d,249,8539,0.107313709,0.763923556
Gyeongbuk,e,941,9268,0.405551006,0.829141997
Gyeongbuk,f,9958,74591,4.29168642,6.673125887
Gyeongbuk,g,55670,132384,23.99258717,11.84345427
Gyeongbuk,h,19092,47436,8.228246347,4.243761306
Gyeongbuk,i,49681,119131,21.41145542,10.65780268
Gyeongbuk,j,1173,8725,0.505538077,0.780563652
Gyeongbuk,k,2316,25912,0.998146791,2.318162218
Gyeongbuk,l,5594,15996,2.410895143,1.431048272
Gyeongbuk,m,3848,25680,1.658406241,2.297406829
Gyeongbuk,n,3408,28768,1.468775589,2.573668211
Gyeongbuk,o,1304,48455,0.561996294,4.334923983
Gyeongbuk,p,9757,79857,4.205059691,7.144237427
Gyeongbuk,q,7774,98932,3.350428824,8.850741916
Gyeongbuk,r,6344,21345,2.734129207,1.909585232
Gyeongbuk,s,25060,46021,10.80032754,4.117171327
Gyeongnam,a,366,3282,0.129932371,0.236403895
Gyeongnam,b,85,712,0.030175551,0.051285671
Gyeongnam,c,37048,409762,13.15228003,29.515336
Gyeongnam,d,203,4266,0.072066315,0.307281845
Gyeongnam,e,869,9362,0.30850063,0.674348953
Gyeongnam,f,10157,82581,3.605800806,5.948345533
Gyeongnam,g,65898,170972,23.39421694,12.31518791
Gyeongnam,h,22229,60756,7.891439019,4.376281241
Gyeongnam,i,61806,153097,21.94153043,11.02764384
Gyeongnam,j,1164,10051,0.413227541,0.723977924
Gyeongnam,k,2827,34811,1.003603316,2.507451549
Gyeongnam,l,9275,27267,3.292685092,1.964053931
Gyeongnam,m,5183,33589,1.83999858,2.419430354
Gyeongnam,n,4089,41238,1.451621492,2.970391168
Gyeongnam,o,1058,48323,0.375596855,3.480726816
Gyeongnam,p,13372,96088,4.747146635,6.921260648
Gyeongnam,q,9498,121835,3.371851536,8.775828314
Gyeongnam,r,7492,24650,2.65970854,1.775550277
Gyeongnam,s,29066,55660,10.31861831,4.009214134
Jeju,a,368,2648,0.585325508,0.956156885
Jeju,b,11,165,0.017496143,0.059579262
Jeju,c,2556,12081,4.065467386,4.362285244
Jeju,d,43,1113,0.068394013,0.401889204
Jeju,e,104,1082,0.165418078,0.390695525
Jeju,f,2601,21665,4.137042516,7.822937655
Jeju,g,14679,44152,23.34780742,15.94268836
Jeju,h,5824,14999,9.263412384,5.415935467
Jeju,i,18498,58359,29.42215012,21.07264337
Jeju,j,339,4609,0.539199313,1.664247388
Jeju,k,653,8197,1.038634665,2.959825523
Jeju,l,2099,5687,3.338582176,2.053498566
Jeju,m,1218,7235,1.937300186,2.612460371
Jeju,n,1642,12243,2.611696967,4.420781247
Jeju,o,213,14120,0.338788949,5.098540489
Jeju,p,2679,20773,4.261106074,7.500848553
Jeju,q,1956,23810,3.111132319,8.597468062
Jeju,r,1801,11578,2.86459576,4.180658766
Jeju,s,5587,12426,8.886450033,4.486860065
